nb_failed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0
2,28,24,10,0,0,0,0,0,0,0,0,0,0,0,0
3,32,29,21,6,0,0,0,0,0,0,0,0,0,0,0
4,37,31,19,16,5,0,0,0,0,0,0,0,0,0,0
5,22,17,11,7,0,0,0,0,0,0,0,0,0,0,0
6,20,17,11,5,1,0,0,0,0,0,0,0,0,0,0
7,23,16,10,7,2,1,0,0,0,0,0,0,0,0,0
8,21,11,8,3,0,0,0,0,0,0,0,0,0,0,0
9,22,13,5,0,0,0,0,0,0,0,0,0,0,0,0
10,13,4,1,1,1,1,0,0,0,0,0,0,0,0,0
11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
