nb_failed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,86,36,0,0,0,0,0,0,0,0,0,0,0,0
3,100,91,66,19,0,0,0,0,0,0,0,0,0,0,0
4,100,84,51,43,14,0,0,0,0,0,0,0,0,0,0
5,100,77,50,32,0,0,0,0,0,0,0,0,0,0,0
6,100,85,55,25,5,0,0,0,0,0,0,0,0,0,0
7,100,70,43,30,9,4,0,0,0,0,0,0,0,0,0
8,100,52,38,14,0,0,0,0,0,0,0,0,0,0,0
9,100,59,23,0,0,0,0,0,0,0,0,0,0,0,0
10,100,31,8,8,8,8,0,0,0,0,0,0,0,0,0
11,100,17,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
